date;x
may-69;-0.038
jun-69;0.235
jul-69;0.486
ago-69;0.169
sep-69;0.333
oct-69;0.137
nov-69;0.169
dic-69;0.333
ene-70;0.705
feb-70;0.377
mar-70;0.585
abr-70;-0.126
may-70;-0.213
jun-70;0.148
jul-70;-0.126
ago-70;-0.344
sep-70;-0.5080001
oct-70;0.279
nov-70;0.082
dic-70;0.355
ene-71;0.082
feb-71;0.574
mar-71;0.355
abr-71;-0.257
may-71;-0.377
jun-71;-0.344
jul-71;-0.65
ago-71;-0.093
sep-71;-0.137
oct-71;0.115
nov-71;0.705
dic-71;0.399
ene-72;0.366
feb-72;0.366
mar-72;0.038
abr-72;-0.268
may-72;0.322
jun-72;0.082
jul-72;0.082
ago-72;0.06
sep-72;0.268
oct-72;0.421
nov-72;0.77
dic-72;0.803
ene-73;0.661
feb-73;0.716
mar-73;0.628
abr-73;0.191
may-73;0.53
jun-73;0.18
jul-73;-0.464
ago-73;0.279
sep-73;0.355
oct-73;0.202
nov-73;0.552
dic-73;0.617
ene-74;0.104
feb-74;0.224
mar-74;0.432
abr-74;-0.213
may-74;-0.967
jun-74;-1
jul-74;-0.432
ago-74;-0.683
sep-74;-0.5080001
oct-74;-0.137
nov-74;0.082
dic-74;-0.06
ene-75;0.333
feb-75;0.355
mar-75;0.388
abr-75;-0.06
may-75;-0.202
jun-75;0.005
jul-75;-0.115
ago-75;0.137
sep-75;0.454
oct-75;0.388
nov-75;0.738
dic-75;0.77
ene-76;0.803
feb-76;0.836
mar-76;0.65
abr-76;0.005
may-76;-0.366
jun-76;0.071
jul-76;-0.005
ago-76;-0.454
sep-76;0.191
oct-76;0.432
nov-76;0.683
dic-76;0.388
ene-77;0.235
feb-77;-0.093
mar-77;0.475
abr-77;-0.082
may-77;-0.617
jun-77;-0.093
jul-77;-0.071
ago-77;0.432
sep-77;0.421
oct-77;0.497
nov-77;0.454
dic-77;0.596
ene-78;0.552
feb-78;0.607
mar-78;0.464
abr-78;-0.301
may-78;-0.77
jun-78;-0.65
jul-78;-0.694
ago-78;-0.137
sep-78;-0.464
oct-78;-0.246
nov-78;0.169
dic-78;-0.202
ene-79;0.082
feb-79;0.607
mar-79;-0.158
abr-79;-0.454
may-79;-0.781
jun-79;-0.388
jul-79;0.18
ago-79;0.06
sep-79;-0.5080001
oct-79;-0.268
nov-79;0.224
dic-79;0.115
ene-80;0.399
feb-80;0.027
mar-80;0.016
abr-80;-0.377
may-80;-0.18
jun-80;-0.038
jul-80;-0.202
ago-80;0.137
sep-80;0.093
oct-80;-0.279
nov-80;-0.038
dic-80;0.235
ene-81;0.169
feb-81;0.399
mar-81;0.158
abr-81;-0.541
may-81;-0.628
jun-81;0.027
jul-81;-0.738
ago-81;-0.913
sep-81;-0.027
oct-81;0.071
nov-81;-0.126
dic-81;0.049
ene-82;0.454
feb-82;0.301
mar-82;-0.005
abr-82;-0.093
may-82;-0.224
jun-82;-0.213
jul-82;-0.311
ago-82;-0.235
sep-82;-0.322
oct-82;0.322
nov-82;0.093
dic-82;0.115
ene-83;0.77
feb-83;0.607
mar-83;-0.158
abr-83;-0.235
may-83;-0.202
jun-83;-0.333
jul-83;-0.158
ago-83;-0.224
sep-83;-0.355
oct-83;0.005
nov-83;0.454
dic-83;0.41
ene-84;0.519
feb-84;0.541
mar-84;0.301
abr-84;-0.574
may-84;-0.344
jun-84;-0.279
jul-84;-0.716
ago-84;-0.869
sep-84;-0.596
oct-84;-0.29
nov-84;-0.454
dic-84;-0.246
ene-85;-0.607
feb-85;-0.563
mar-85;-0.235
abr-85;-0.246
may-85;-0.399
jun-85;-0.333
jul-85;-0.53
ago-85;-0.049
sep-85;0.158
oct-85;0.115
nov-85;0.322
dic-85;0.115
ene-86;0.049
feb-86;0.454
mar-86;0.158
abr-86;-0.421
may-86;-0.268
jun-86;-0.311
jul-86;-0.115
ago-86;-0.322
sep-86;-0.322
oct-86;0.126
nov-86;0.333
dic-86;0.519
ene-87;0.399
;0.519
;0.432
;0.355
;-0.126
;-0.5080001
;-0.388
;0.388
;0.071
